Time,Vix
09:00:00,20.49
09:00:15,20.5
09:00:30,20.45
09:00:45,20.44
09:01:00,20.45
09:01:15,20.44
09:01:30,20.51
09:01:45,20.5
09:02:00,20.46
09:02:15,20.37
09:02:30,20.48
09:02:45,20.36
09:03:00,20.39
09:03:15,20.41
09:03:30,20.43
09:03:45,20.48
09:04:00,20.47
09:04:15,20.6
09:04:30,20.56
09:04:45,20.59
09:05:00,20.58
09:05:15,20.54
09:05:30,20.47
09:05:45,20.43
09:06:00,20.55
09:06:15,20.39
09:06:30,20.39
09:06:45,20.41
09:07:00,20.35
09:07:15,20.5
09:07:30,20.51
09:07:45,20.56
09:08:00,20.52
09:08:15,20.52
09:08:30,20.43
09:08:45,20.44
09:09:00,20.42
09:09:15,20.38
09:09:30,20.34
09:09:45,20.35
09:10:00,20.35
09:10:15,20.49
09:10:30,20.47
09:10:45,20.46
09:11:00,20.48
09:11:15,20.48
09:11:30,20.49
09:11:45,20.52
09:12:00,20.53
09:12:15,20.52
09:12:30,20.64
09:12:45,20.63
09:13:00,20.66
09:13:15,20.62
09:13:30,20.63
09:13:45,20.6
09:14:00,20.59
09:14:15,20.56
09:14:30,20.6
09:14:45,20.57
09:15:00,20.57
09:15:15,20.57
09:15:30,20.56
09:15:45,20.59
09:16:00,20.65
09:16:15,20.63
09:16:30,20.6
09:16:45,20.59
09:17:00,20.57
09:17:15,20.56
09:17:30,20.55
09:17:45,20.58
09:18:00,20.57
09:18:15,20.54
09:18:30,20.43
09:18:45,20.47
09:19:00,20.5
09:19:15,20.54
09:19:30,20.55
09:19:45,20.5
09:20:00,20.49
09:20:15,20.46
09:20:30,20.45
09:20:45,20.47
09:21:00,20.43
09:21:15,20.46
09:21:30,20.47
09:21:45,20.48
09:22:00,20.44
09:22:15,20.5
09:22:30,20.5
09:22:45,20.5
09:23:00,20.5
09:23:15,20.52
09:23:30,20.54
09:23:45,20.54
09:24:00,20.54
09:24:15,20.53
09:24:30,20.54
09:24:45,20.61
09:25:00,20.61
09:25:15,20.62
09:25:30,20.6
09:25:45,20.58
09:26:00,20.62
09:26:15,20.58
09:26:30,20.57
09:26:45,20.48
09:27:00,20.62
09:27:15,20.58
09:27:30,20.62
09:27:45,20.58
09:28:00,20.57
09:28:15,20.56
09:28:30,20.68
09:28:45,20.66
09:29:00,20.63
09:29:15,20.63
09:29:30,20.49
09:29:45,20.5
09:30:00,20.49
09:30:15,20.51
09:30:30,20.65
09:30:45,20.5
09:31:00,20.5
09:31:15,20.54
09:31:30,20.54
09:31:45,20.5
09:32:00,20.58
09:32:15,20.58
09:32:30,20.57
09:32:45,20.54
09:33:00,20.53
09:33:15,20.5
09:33:30,20.55
09:33:45,20.51
09:34:00,20.47
09:34:15,20.47
09:34:30,20.62
09:34:45,20.45
09:35:00,20.49
09:35:15,20.5
09:35:30,20.61
09:35:45,20.45
09:36:00,20.5
09:36:15,20.45
09:36:30,20.5
